County,Response_Rate_00,Response_Rate_10,Population_00,Population_10,White_00,Black_00,Asian_00,Hispanic_00,White_10,Black_10,Asian_10,Hispanic_10,Republican_00,Democratic_00,Independence_00,Conservative_00,Liberal_00,Green_00,Working_Families_00,Democratic_10,Republican_10,Independence_10,Conservative_10,Working_Families_10,Green_10,AvgHousePrice_00,AvgHousePrice_10
Albany County,206195,206859,294565,304204,240954,31518,7953,120512,231195,36504,14602,126251,52296,104178,5068,3314,1389,320,154,100493,42388,9579,2935,684,564,126107,209748
Allegany County,29956,24962,49927,48946,48229,349,349,18009,46694,489,441,18208,15132,7369,612,446,270,27,21,7316,14304,1256,417,159,68,40368,56841
Bronx County,746284,886469,1332650,1385108,193234,415787,38647,463212,150977,416918,47094,483449,56184,492902,5941,4769,5471,152,641,533502,47640,13748,3274,0,2755,111615,165426
Broome County,144385,134402,200536,200600,181285,6217,5615,80749,173118,8826,7021,82167,56135,48047,2911,1864,1396,218,98,47688,46949,6031,1534,649,421,76396,119780
Cattaraugus County,53731,45781,83955,80317,78918,840,420,32023,73811,964,562,32263,21714,19511,1149,1279,616,20,46,17664,19604,2230,1042,315,107,66408,92004
Cayuga County,49177,50416,81963,80026,75734,3197,328,30558,73064,3041,400,31445,20570,17286,1323,1725,532,48,44,17072,18593,2457,1267,215,128,70291,116233
Chautauqua County,92235,80943,139750,134905,128430,2795,559,54515,120470,2698,675,54244,33948,33967,2216,2511,1078,94,52,31562,29104,5119,2071,485,168,64841,86542
Chemung County,68302,62181,91070,88830,82145,5191,729,35049,77637,5507,1066,35462,25276,17954,1635,754,672,32,33,18555,22957,2997,668,271,111,67687,90766
Chenango County,33410,29277,51401,50477,49808,411,154,19926,48256,303,202,20436,15189,7906,902,568,376,40,28,8669,13760,1728,469,208,143,51017,82138
Clinton County,54327,50098,79894,82128,73742,2716,559,29423,74819,2957,903,31582,18466,18109,1552,561,842,65,11,18761,16509,3186,464,225,138,107102,148502
Columbia County,39118,31548,63094,63096,57352,2713,505,24796,55651,2713,1010,25906,13977,10361,1230,1631,379,99,20,13916,13173,2823,1227,211,202,115669,200079
Cortland County,31103,32562,48599,49336,46752,389,194,18210,46228,691,395,18671,12821,9664,1009,518,418,46,35,10089,11260,1644,440,140,86,61890,96714
Delaware County,25469,23510,48055,47980,45700,529,240,19270,44717,672,384,19898,15316,8257,769,604,277,47,13,8434,13291,1503,471,107,120,73645,126147
Dutchess County,190502,193367,280150,297488,224960,24933,7004,99536,221926,27369,10412,107965,55819,46424,3947,3752,1556,266,108,62597,56909,9615,3460,690,477,196487,294490
Erie County,703196,634138,950265,919040,767814,121634,13304,380873,714094,119475,23895,383164,179327,314645,10997,14521,6516,551,416,331131,172925,26895,12974,2970,1575,95261,131195
Essex County,22533,20079,38851,39370,36365,1010,155,15028,36575,984,276,16262,14348,6478,825,240,295,42,6,7180,13281,1855,200,77,82,71250,114895
Franklin County,34259,30443,51134,51599,42237,3170,205,17931,42621,2838,206,19054,11470,10369,915,436,231,30,13,10723,10248,1586,352,105,60,54637,79595
Fulton County,33594,34429,55073,55531,52374,936,275,21884,52088,1000,333,22554,18221,7737,714,434,290,18,30,8401,16909,1546,469,146,61,54522,89298
Genesee County,44673,42055,60370,60079,56808,1207,302,22770,54972,1502,360,23728,17147,10887,952,980,475,31,29,10177,16430,1706,834,197,73,80290,101823
Greene County,23615,24118,48195,49221,42653,2506,241,18256,42871,2609,394,19823,13970,7162,723,1026,236,31,18,7915,13275,1771,847,119,81,91250,161761
Hamilton County,3819,1934,5379,4836,5223,22,5,2362,4662,34,24,2262,3558,1029,76,63,19,2,0,1062,3004,201,45,8,6,86508,140459
Herkimer County,38656,43228,64427,64519,62687,322,258,25734,61680,645,323,26324,23641,12562,1182,674,430,22,20,11614,20080,2315,549,138,76,56932,87738
Jefferson County,56986,68575,111738,116229,97436,6257,1006,40068,99724,5463,1511,43451,27757,17919,1804,936,696,38,37,18197,26173,3157,781,222,97,54545,119813
